chrom,tss,chromEnd,strand,gene_name,gene_id,cage_used
1,1655763,1655764,-,CDK11B,ENSG00000248333,True
1,1655763,1655764,-,CDK11A,ENSG00000008128,True
1,1677509,1677510,-,SLC35E2,ENSG00000215790,True
1,1709879,1709880,-,NADK,ENSG00000008130,True
1,1822533,1822534,-,GNB1,ENSG00000078369,True
1,1847109,1847110,+,CALML6,ENSG00000169885,True
1,1850713,1850714,-,TMEM52,ENSG00000178821,True
1,1935225,1935226,-,C1orf222,ENSG00000142609,True
1,1950789,1950790,+,GABRD,ENSG00000187730,True
1,2005084,2005085,+,PRKCZ,ENSG00000067606,True
1,2121237,2121238,+,AL590822.2,ENSG00000269554,False
1,2126205,2126206,-,C1orf86,ENSG00000162585,True
1,2145620,2145621,-,AL590822.1,ENSG00000203301,False
1,2160134,2160135,+,SKI,ENSG00000157933,False
1,2258581,2258582,+,AL589739.1,ENSG00000269753,False
1,2322989,2322990,-,MORN1,ENSG00000116151,True
1,2323283,2323284,+,RER1,ENSG00000157916,True
1,2343984,2343985,-,PEX10,ENSG00000157911,True
1,2398902,2398903,+,PLCH2,ENSG00000149527,True
1,2458041,2458042,-,PANK4,ENSG00000157881,True
1,2461701,2461702,-,HES5,ENSG00000197921,True
1,2488011,2488012,+,TNFRSF14,ENSG00000157873,True
1,2518246,2518247,+,FAM213B,ENSG00000157870,True
1,2564481,2564482,-,MMEL1,ENSG00000142606,False
1,2718286,2718287,-,TTC34,ENSG00000215912,False
1,2938066,2938067,+,ACTRT2,ENSG00000169717,True
1,2985767,2985768,+,PRDM16,ENSG00000142611,True
1,3371232,3371233,+,ARHGEF16,ENSG00000130762,True
1,3447975,3447976,-,MEGF6,ENSG00000162591,True
1,3541600,3541601,+,TPRG1L,ENSG00000158109,True
1,3566653,3566654,-,WRAP73,ENSG00000116213,True
1,3569082,3569083,+,TP73,ENSG00000078900,True
1,3669017,3669018,+,CCDC27,ENSG00000162592,True
1,3689352,3689353,+,SMIM1,ENSG00000235169,False
1,3713061,3713062,-,LRRC47,ENSG00000130764,True
1,3773770,3773771,-,CEP104,ENSG00000116198,True
1,3774036,3774037,+,DFFB,ENSG00000169598,True
1,3816824,3816825,-,C1orf174,ENSG00000198912,True
1,4714665,4714666,+,AJAP1,ENSG00000196581,True
1,6052502,6052503,-,NPHP4,ENSG00000131697,True
1,6086398,6086399,+,KCNAB2,ENSG00000069424,True
1,6101399,6101400,-,AL035406.1,ENSG00000268332,False
1,6240370,6240371,-,CHD5,ENSG00000116254,True
1,6259665,6259666,-,RPL22,ENSG00000116251,True
1,6266170,6266171,+,RNF207,ENSG00000158286,True
1,6296037,6296038,-,ICMT,ENSG00000116237,True
1,6304238,6304239,+,HES3,ENSG00000173673,True
1,6321142,6321143,-,GPR153,ENSG00000158292,True
1,6453436,6453437,-,ACOT7,ENSG00000097021,True
1,6479977,6479978,-,HES2,ENSG00000069812,True
1,6484836,6484837,+,ESPN,ENSG00000187017,True
1,6526221,6526222,-,TNFRSF25,ENSG00000215788,True
1,6557488,6557489,-,PLEKHG5,ENSG00000171680,True
1,6614583,6614584,-,NOL9,ENSG00000162408,True
1,6615476,6615477,+,TAS1R1,ENSG00000173662,True
1,6640073,6640074,+,ZBTB48,ENSG00000204859,True
1,6662927,6662928,-,KLHL21,ENSG00000162413,True
1,6673806,6673807,+,PHF13,ENSG00000116273,True
1,6685249,6685250,+,THAP3,ENSG00000041988,True
1,6761873,6761874,-,DNAJC11,ENSG00000007923,True
1,6845529,6845530,+,CAMTA1,ENSG00000171735,True
1,7831368,7831369,+,VAMP3,ENSG00000049245,True
1,7844361,7844362,+,PER3,ENSG00000049246,True
1,7973316,7973317,-,UTS2,ENSG00000049247,True
1,8000897,8000898,-,TNFRSF9,ENSG00000049249,True
1,8021750,8021751,+,PARK7,ENSG00000116288,True
1,8086369,8086370,-,ERRFI1,ENSG00000116285,True
1,8378163,8378164,+,SLC45A1,ENSG00000162426,True
1,8877712,8877713,-,RERE,ENSG00000142599,True
1,8938746,8938747,-,ENO1,ENSG00000074800,True
1,9005926,9005927,+,CA6,ENSG00000131686,True
1,9086465,9086466,-,SLC2A7,ENSG00000197241,True
1,9129694,9129695,-,SLC2A5,ENSG00000142583,True
1,9189169,9189170,-,GPR157,ENSG00000180758,True
1,9294855,9294856,+,H6PD,ENSG00000049239,True
1,9352953,9352954,+,SPSB1,ENSG00000171621,True
1,9599509,9599510,+,SLC25A33,ENSG00000171612,True
1,9648951,9648952,+,TMEM201,ENSG00000188807,True
1,9711797,9711798,+,PIK3CD,ENSG00000171608,True
1,9714644,9714645,-,C1orf200,ENSG00000179840,False
1,9884024,9884025,-,CLSTN1,ENSG00000171603,True
1,9970291,9970292,-,CTNNBIP1,ENSG00000178585,True
1,10003418,10003419,-,LZIC,ENSG00000162441,True
1,10003518,10003519,+,NMNAT1,ENSG00000173614,True
1,10057287,10057288,+,RBP7,ENSG00000162444,True
1,10093017,10093018,+,UBE4B,ENSG00000130939,True
1,10270628,10270629,+,KIF1B,ENSG00000054523,True
1,10459124,10459125,+,PGD,ENSG00000142657,True
1,10490809,10490810,+,APITD1,ENSG00000175279,True
1,10490809,10490810,+,APITD1-CORT,ENSG00000251503,True
1,10510215,10510216,+,CORT,ENSG00000241563,True
1,10532562,10532563,-,DFFA,ENSG00000160049,True
1,10535009,10535010,+,PEX14,ENSG00000142655,True
1,10754497,10754498,-,CASZ1,ENSG00000130940,True
1,11042094,11042095,-,C1orf127,ENSG00000175262,False
1,11072715,11072716,+,TARDBP,ENSG00000120948,True
1,11107296,11107297,-,MASP2,ENSG00000009724,True
1,11120096,11120097,-,SRM,ENSG00000116649,True
1,11159911,11159912,-,EXOSC10,ENSG00000171824,True
1,11249411,11249412,+,ANGPTL7,ENSG00000171819,True
1,11322607,11322608,-,MTOR,ENSG00000198793,True
1,11333267,11333268,+,UBIAD1,ENSG00000120942,True
1,11539211,11539212,+,PTCHD2,ENSG00000204624,True
1,11714486,11714487,-,FBXO2,ENSG00000116661,True
1,11714947,11714948,+,FBXO44,ENSG00000132879,True
1,11724269,11724270,+,FBXO6,ENSG00000116663,True
1,11741195,11741196,-,MAD2L2,ENSG00000116670,True
1,11751786,11751787,+,DRAXIN,ENSG00000162490,False
1,11796209,11796210,+,AGTRAP,ENSG00000177674,True
1,11847845,11847846,+,C1orf167,ENSG00000215910,True
1,11863590,11863591,-,MTHFR,ENSG00000177000,True
1,11866292,11866293,+,CLCN6,ENSG00000011021,True
1,11907838,11907839,-,NPPA,ENSG00000175206,True
1,11919001,11919002,-,NPPB,ENSG00000120937,True
1,11986472,11986473,-,KIAA2013,ENSG00000116685,True
1,11994774,11994775,+,PLOD1,ENSG00000083444,True
1,12040498,12040499,+,MFN2,ENSG00000116688,True
1,12079556,12079557,+,MIIP,ENSG00000116691,True
1,12123355,12123356,+,TNFRSF8,ENSG00000120949,True
1,12227046,12227047,+,TNFRSF1B,ENSG00000028137,True
1,12290090,12290091,+,VPS13D,ENSG00000048707,True
1,12678221,12678222,-,DHRS3,ENSG00000162496,True
1,12704566,12704567,+,AADACL4,ENSG00000204518,False
1,12776116,12776117,+,AADACL3,ENSG00000188984,True
1,12806170,12806171,+,C1orf158,ENSG00000157330,True
1,12834984,12834985,+,PRAMEF12,ENSG00000116726,False
1,12851547,12851548,+,PRAMEF1,ENSG00000116721,True
1,12891264,12891265,-,PRAMEF11,ENSG00000204513,False
1,12908578,12908579,-,HNRNPCL1,ENSG00000179172,False
1,12916941,12916942,+,PRAMEF2,ENSG00000120952,False
1,12946025,12946026,-,PRAMEF4,ENSG00000243073,False
1,12958101,12958102,-,PRAMEF10,ENSG00000187545,False
1,12976450,12976451,+,PRAMEF7,ENSG00000204510,False
1,13035543,13035544,+,PRAMEF22,ENSG00000204508,False
1,13052998,13052999,-,WI2-3308P17.2,ENSG00000239810,False
1,13117751,13117752,-,PRAMEF6,ENSG00000232423,False
1,13219581,13219582,-,PRAMEF26,ENSG00000229571,False
1,13331692,13331693,-,PRAMEF3,ENSG00000204503,False
1,13359819,13359820,+,PRAMEF5,ENSG00000204502,False
1,13390765,13390766,-,PRAMEF8,ENSG00000182330,False
1,13421176,13421177,+,PRAMEF9,ENSG00000204501,False
1,13452656,13452657,-,PRAMEF13,ENSG00000204495,False
1,13477522,13477523,-,PRAMEF18,ENSG00000204491,False
1,13495254,13495255,+,PRAMEF16,ENSG00000204488,False
1,13516066,13516067,+,PRAMEF21,ENSG00000204486,False
1,13641973,13641974,+,PRAMEF15,ENSG00000157358,False
1,13673511,13673512,-,PRAMEF14,ENSG00000204481,False
1,13698405,13698406,-,PRAMEF19,ENSG00000204480,False
1,13716092,13716093,+,PRAMEF17,ENSG00000204479,False
1,13736907,13736908,+,PRAMEF20,ENSG00000204478,False
1,13840502,13840503,-,LRRC38,ENSG00000162494,True
1,13910266,13910267,+,PDPN,ENSG00000162493,True
1,14075921,14075922,+,PRDM2,ENSG00000116731,True
1,15250640,15250641,+,KAZN,ENSG00000189337,True
1,15480236,15480237,+,TMEM51,ENSG00000171729,True
1,15497813,15497814,-,C1orf195,ENSG00000204464,False
1,15573732,15573733,+,FHAD1,ENSG00000142621,True
1,15736411,15736412,+,EFHD2,ENSG00000142634,True
1,15764938,15764939,+,CTRC,ENSG00000162438,True
1,15783225,15783226,+,CELA2A,ENSG00000142615,True
1,15802597,15802598,+,CELA2B,ENSG00000215704,True
1,15850720,15850721,-,CASP9,ENSG00000132906,True
1,15853369,15853370,+,DNAJC16,ENSG00000116138,True
1,15911544,15911545,-,AGMAT,ENSG00000116771,True
1,15943948,15943949,+,DDI2,ENSG00000197312,True
1,15986364,15986365,+,RSC1A1,ENSG00000215695,False
1,16010819,16010820,+,PLEKHM2,ENSG00000116786,True
1,16062783,16062784,+,SLC25A34,ENSG00000162461,True
1,16069009,16069010,+,TMEM82,ENSG00000162460,True
1,16085288,16085289,+,FBLIM1,ENSG00000162458,True
1,16174322,16174323,+,SPEN,ENSG00000065526,True
1,16302585,16302586,-,ZBTB17,ENSG00000116809,True
1,16330730,16330731,+,C1orf64,ENSG00000183888,True
1,16344538,16344539,-,HSPB7,ENSG00000173641,True
1,16355014,16355015,+,CLCNKA,ENSG00000186510,True
1,16370287,16370288,+,CLCNKB,ENSG00000184908,True
1,16400119,16400120,-,FAM131C,ENSG00000185519,True
1,16482565,16482566,-,EPHA2,ENSG00000142627,True
1,16539104,16539105,-,ARHGEF19,ENSG00000142632,False
1,16556038,16556039,-,C1orf134,ENSG00000204377,False
1,16563675,16563676,-,RSG1,ENSG00000132881,True
1,16678951,16678952,-,FBXO42,ENSG00000037637,True
1,16679070,16679071,+,SZRD1,ENSG00000055070,False
1,16763919,16763920,-,SPATA21,ENSG00000187144,False
1,16767223,16767224,+,NECAP2,ENSG00000157191,True
1,16865561,16865562,+,AL355149.2,ENSG00000268674,False
1,16940053,16940054,-,NBPF1,ENSG00000219481,True
1,16999498,16999499,+,AL137798.1,ENSG00000237847,False
1,17060956,17060957,-,AL021920.2,ENSG00000268991,False
1,17248426,17248427,+,CROCC,ENSG00000058453,True
1,17307129,17307130,-,MFAP2,ENSG00000117122,True
1,17338423,17338424,-,ATP13A2,ENSG00000159363,True
1,17380525,17380526,-,SDHB,ENSG00000117118,True
1,17445946,17445947,-,PADI2,ENSG00000117115,True
1,17531622,17531623,+,PADI1,ENSG00000142623,True
1,17575591,17575592,+,PADI3,ENSG00000142619,True
1,17634692,17634693,+,PADI4,ENSG00000159339,True
1,17676070,17676071,-,AC004824.2,ENSG00000269468,False
1,17765032,17765033,-,RCC2,ENSG00000179051,True
1,17866217,17866218,+,ARHGEF10L,ENSG00000074964,True
1,18081843,18081844,+,ACTL8,ENSG00000117148,True
1,18434282,18434283,+,IGSF21,ENSG00000117154,True
1,18807508,18807509,+,KLHDC7A,ENSG00000179023,True
1,18957354,18957355,+,PAX7,ENSG00000009709,True
1,19186176,19186177,-,TAS1R2,ENSG00000179002,False
1,19229035,19229036,-,ALDH4A1,ENSG00000159423,True
1,19247615,19247616,-,RP13-279N23.2,ENSG00000255275,False
1,19283124,19283125,-,IFFO2,ENSG00000169991,True
1,19536757,19536758,-,UBR4,ENSG00000127481,True
1,19578046,19578047,-,EMC1,ENSG00000127463,False
1,19578307,19578308,+,MRTO4,ENSG00000053372,True
1,19615744,19615745,-,AKR7A3,ENSG00000162482,False
1,19638604,19638605,-,AKR7A2,ENSG00000053371,True
1,19638808,19638809,+,PQLC2,ENSG00000040487,True
1,19812022,19812023,-,CAPZB,ENSG00000077549,True
1,19923473,19923474,+,MINOS1-NBL1,ENSG00000270136,False
1,19923503,19923504,+,MINOS1,ENSG00000173436,True
1,19970819,19970820,+,NBL1,ENSG00000158747,True
1,19991375,19991376,+,HTR6,ENSG00000158748,True
1,20126389,20126390,-,TMCO4,ENSG00000162542,True
1,20141770,20141771,-,RNF186,ENSG00000178828,True
1,20208904,20208905,+,OTUD3,ENSG00000169914,True
1,20250110,20250111,-,PLA2G2E,ENSG00000188784,False
1,20306110,20306111,-,PLA2G2A,ENSG00000188257,True
1,20396677,20396678,+,PLA2G5,ENSG00000127472,True
1,20446027,20446028,-,PLA2G2D,ENSG00000117215,True
1,20465814,20465815,+,PLA2G2F,ENSG00000158786,True
1,20503917,20503918,-,PLA2G2C,ENSG00000187980,False
1,20512598,20512599,+,UBXN10,ENSG00000162543,True
1,20617371,20617372,+,VWA5B1,ENSG00000158816,True
1,20812726,20812727,-,CAMK2N1,ENSG00000162545,True
1,20834621,20834622,-,MUL1,ENSG00000090432,True
1,20879046,20879047,+,FAM43B,ENSG00000183114,True
1,20915582,20915583,+,CDA,ENSG00000158825,True
1,20959967,20959968,+,PINK1,ENSG00000158828,True
1,20987869,20987870,-,DDOST,ENSG00000244038,True
1,21009279,21009280,-,KIF17,ENSG00000117245,True
1,21058665,21058666,-,SH2D5,ENSG00000189410,True
1,21113800,21113801,-,HP1BP3,ENSG00000127483,True
1,21503372,21503373,-,EIF4G3,ENSG00000075151,True
1,21671988,21671989,-,ECE1,ENSG00000117298,True
1,21766612,21766613,+,NBPF3,ENSG00000142794,True
1,21835917,21835918,+,ALPL,ENSG00000162551,True
1,21995836,21995837,-,RAP1GAP,ENSG00000076864,True
1,22109650,22109651,-,USP48,ENSG00000090686,True
1,22138758,22138759,+,LDLRAD2,ENSG00000187942,False
1,22263802,22263803,-,HSPG2,ENSG00000142798,True
1,22303512,22303513,+,CELA3B,ENSG00000219073,True
1,22328149,22328150,+,CELA3A,ENSG00000142789,True
1,22379197,22379198,+,CDC42,ENSG00000070831,True
1,22469588,22469589,-,WNT4,ENSG00000162552,True
1,22778346,22778347,+,ZBTB40,ENSG00000184677,True
1,22889979,22889980,+,EPHA8,ENSG00000070886,True
1,22963117,22963118,+,C1QA,ENSG00000173372,True
1,22970127,22970128,+,C1QC,ENSG00000159189,True
1,22979733,22979734,+,C1QB,ENSG00000173369,True
1,23037330,23037331,+,EPHB2,ENSG00000133216,True
1,23291831,23291832,-,LACTBL1,ENSG00000215906,False
1,23342343,23342344,-,C1orf234,ENSG00000227868,False
1,23345997,23345998,+,KDM1A,ENSG00000004487,True
1,23495320,23495321,-,LUZP1,ENSG00000169641,True
1,23521222,23521223,-,HTR1D,ENSG00000179546,False
1,23670775,23670776,-,HNRNPR,ENSG00000125944,True
1,23694828,23694829,-,ZNF436,ENSG00000125945,True
1,23695709,23695710,+,C1orf213,ENSG00000249087,True
1,23751222,23751223,-,TCEA3,ENSG00000204219,True
1,23810699,23810700,-,ASAP3,ENSG00000088280,True
1,23857715,23857716,-,E2F2,ENSG00000007968,True
1,23885991,23885992,-,ID3,ENSG00000117318,True
1,23953855,23953856,+,MDS2,ENSG00000197880,True
1,24018290,24018291,+,RPL11,ENSG00000142676,True
1,24069970,24069971,+,TCEB3,ENSG00000011007,True
1,24104893,24104894,+,PITHD1,ENSG00000057757,True
1,24117643,24117644,+,LYPLA2,ENSG00000011009,True
1,24127244,24127245,-,GALE,ENSG00000117308,True
1,24151921,24151922,-,HMGCL,ENSG00000117305,True
1,24194811,24194812,-,FUCA1,ENSG00000179163,True
1,24239851,24239852,-,CNR2,ENSG00000188822,True
1,24286306,24286307,+,PNRC2,ENSG00000189266,True
1,24306818,24306819,-,SRSF10,ENSG00000188529,True
1,24438625,24438626,-,MYOM3,ENSG00000142661,True
1,24469638,24469639,-,IL22RA1,ENSG00000142677,True
1,24514449,24514450,-,IFNLR1,ENSG00000185436,False
1,24645842,24645843,+,GRHL3,ENSG00000158055,True
1,24742288,24742289,+,NIPAL3,ENSG00000001461,True
1,24743424,24743425,-,STPG1,ENSG00000001460,False
1,24829502,24829503,+,RCAN3,ENSG00000117602,True
1,24882602,24882603,+,NCMAP,ENSG00000184454,False
1,24969781,24969782,+,SRRM1,ENSG00000133226,True
1,25071937,25071938,+,CLIC4,ENSG00000169504,True
1,25256765,25256766,-,RUNX3,ENSG00000020633,True
1,25558992,25558993,-,SYF2,ENSG00000117614,True
1,25573945,25573946,-,C1orf63,ENSG00000117616,True
1,25599000,25599001,+,RHD,ENSG00000187010,True
1,25664812,25664813,+,TMEM50A,ENSG00000183726,True
1,25756668,25756669,-,RHCE,ENSG00000188672,True
1,25757392,25757393,+,TMEM57,ENSG00000204178,True
1,25870125,25870126,+,LDLRAP1,ENSG00000157978,True
1,26012988,26012989,+,MAN1C1,ENSG00000117643,True
1,26126695,26126696,+,SEPN1,ENSG00000162430,True
1,26137961,26137962,+,RP1-317E23.6,ENSG00000255054,False
1,26145131,26145132,+,MTFR1L,ENSG00000117640,False
1,26147288,26147289,-,AL020996.1,ENSG00000223474,False
1,26185903,26185904,-,AUNIP,ENSG00000127423,False
1,26197744,26197745,-,PAQR7,ENSG00000182749,False
1,26232910,26232911,-,STMN1,ENSG00000117632,True
1,26324561,26324562,-,PAFAH2,ENSG00000158006,True
1,26348267,26348268,+,EXTL1,ENSG00000158008,True
1,26372609,26372610,-,SLC30A2,ENSG00000158014,True
1,26394122,26394123,-,TRIM63,ENSG00000158022,True
1,26438320,26438321,+,PDIK1L,ENSG00000175087,True
1,26485568,26485569,+,FAM110D,ENSG00000197245,True
1,26496419,26496420,+,ZNF593,ENSG00000142684,True
1,26503999,26504000,+,CNKSR1,ENSG00000142675,True
1,26517052,26517053,+,CATSPER4,ENSG00000188782,False
1,26560700,26560701,+,CEP85,ENSG00000130695,True
1,26606573,26606574,+,SH3BGRL3,ENSG00000142669,True
1,26633127,26633128,-,UBXN11,ENSG00000158062,True
1,26644448,26644449,+,CD52,ENSG00000169442,True
1,26680601,26680602,-,AIM1L,ENSG00000176092,True
1,26697250,26697251,-,ZNF683,ENSG00000176083,True
1,26737307,26737308,+,LIN28A,ENSG00000131914,True
1,26758818,26758819,+,DHDDS,ENSG00000117682,True
1,26798975,26798976,+,HMGN2,ENSG00000198830,True
1,26872343,26872344,+,RPS6KA1,ENSG00000117676,True
1,27022514,27022515,+,ARID1A,ENSG00000117713,True
1,27114684,27114685,+,PIGV,ENSG00000060642,True
1,27153201,27153202,+,ZDHHC18,ENSG00000204160,True
1,27189639,27189640,+,SFN,ENSG00000175793,True
1,27216768,27216769,-,GPN2,ENSG00000142751,True
1,27226947,27226948,-,GPATCH3,ENSG00000198746,True
1,27240464,27240465,-,NR0B2,ENSG00000131910,True
1,27248245,27248246,+,NUDC,ENSG00000090273,True
1,27286935,27286936,-,C1orf172,ENSG00000175707,True
1,27320188,27320189,+,TRNP1,ENSG00000253368,True
1,27339346,27339347,-,FAM46B,ENSG00000158246,True
1,27481617,27481618,-,SLC9A1,ENSG00000090020,True
1,27561131,27561132,+,WDTC1,ENSG00000142784,True
1,27648761,27648762,+,TMEM222,ENSG00000186501,True
1,27668543,27668544,+,SYTL1,ENSG00000142765,True
1,27693442,27693443,-,MAP3K6,ENSG00000142733,True
1,27701314,27701315,-,FCN3,ENSG00000142748,True
1,27709822,27709823,-,CD164L2,ENSG00000174950,True
1,27719167,27719168,+,GPR3,ENSG00000181773,True
1,27816664,27816665,-,WASF2,ENSG00000158195,True
1,27930662,27930663,-,AHDC1,ENSG00000126705,True
1,27961647,27961648,-,FGR,ENSG00000000938,True
1,27998701,27998702,-,IFI6,ENSG00000126709,True
1,28052485,28052486,+,FAM76A,ENSG00000009780,True
1,28099739,28099740,+,STX12,ENSG00000117758,True
1,28157310,28157311,+,PPP1R8,ENSG00000117751,True
1,28177255,28177256,-,AL109927.1,ENSG00000268552,False
1,28199055,28199056,+,THEMIS2,ENSG00000130775,False
1,28241078,28241079,-,RPA2,ENSG00000117748,True
1,28261548,28261549,+,SMPDL3B,ENSG00000130768,True
1,28286512,28286513,+,XKR8,ENSG00000158156,True
1,28415121,28415122,-,EYA3,ENSG00000158161,True
1,28503192,28503193,-,PTAFR,ENSG00000169403,True
1,28527070,28527071,+,AL353354.2,ENSG00000269804,False
1,28527152,28527153,-,AL353354.1,ENSG00000215902,False
1,28559536,28559537,-,DNAJC8,ENSG00000126698,True
1,28562649,28562650,+,ATPIF1,ENSG00000130770,True
1,28586025,28586026,+,SESN2,ENSG00000130766,True
1,28655567,28655568,+,MED18,ENSG00000130772,True
1,28696206,28696207,+,PHACTR4,ENSG00000204138,True
1,28832558,28832559,+,RCC1,ENSG00000180198,True
1,28879606,28879607,+,TRNAU1AP,ENSG00000180098,True
1,28918712,28918713,+,RAB42,ENSG00000188060,False
1,28969567,28969568,-,TAF12,ENSG00000120656,True
1,28995290,28995291,+,GMEB1,ENSG00000162419,True
1,29063462,29063463,+,YTHDF2,ENSG00000198492,True
1,29138679,29138680,+,OPRD1,ENSG00000116329,True
1,29213625,29213626,+,EPB41,ENSG00000159023,True
1,29450423,29450424,-,TMEM200B,ENSG00000253304,True
1,29508382,29508383,-,SRSF4,ENSG00000116350,True
1,29557426,29557427,-,MECR,ENSG00000116353,True
1,29563032,29563033,+,PTPRU,ENSG00000060656,True
1,31196430,31196431,-,MATN1,ENSG00000162510,True
1,31230627,31230628,-,LAPTM5,ENSG00000162511,True
1,31381593,31381594,-,SDC3,ENSG00000162512,True
1,31538546,31538547,-,PUM1,ENSG00000134644,True
1,31712741,31712742,-,NKAIN1,ENSG00000084628,True
1,31769623,31769624,-,SNRNP40,ENSG00000060688,True
1,31769864,31769865,+,ZCCHC17,ENSG00000121766,True
1,31845922,31845923,-,FABP3,ENSG00000121769,True
1,31886066,31886067,+,SERINC2,ENSG00000168528,True
1,31902614,31902615,-,AC114494.1,ENSG00000268950,False
1,32042116,32042117,+,TINAGL1,ENSG00000142910,True
1,32083295,32083296,+,HCRTR1,ENSG00000121764,True
1,32110479,32110480,-,PEF1,ENSG00000162517,True
1,32169613,32169614,-,COL16A1,ENSG00000084636,True
1,32229955,32229956,-,BAI2,ENSG00000121753,True
1,32264302,32264303,-,SPOCD1,ENSG00000134668,True
1,32379174,32379175,+,AL136115.1,ENSG00000212673,False
1,32403940,32403941,-,PTP4A2,ENSG00000184007,True
1,32479464,32479465,+,KHDRBS1,ENSG00000121774,True
1,32538566,32538567,+,TMEM39B,ENSG00000121775,True
1,32573654,32573655,+,KPNA6,ENSG00000025800,True
1,32645325,32645326,+,TXLNA,ENSG00000084652,True
1,32666231,32666232,+,CCDC28B,ENSG00000160050,True
1,32671259,32671260,+,IQCC,ENSG00000160051,True
1,32674688,32674689,+,DCDC2B,ENSG00000222046,True
1,32687946,32687947,-,TMEM234,ENSG00000160055,True
1,32688004,32688005,+,EIF3I,ENSG00000084623,True
1,32712828,32712829,+,FAM167B,ENSG00000183615,True
1,32716873,32716874,+,LCK,ENSG00000182866,True
1,32757741,32757742,+,HDAC1,ENSG00000116478,True
1,32801833,32801834,-,MARCKSL1,ENSG00000175130,True
1,32828140,32828141,+,TSSK3,ENSG00000162526,True
1,32829879,32829880,-,FAM229A,ENSG00000225828,False
1,32860035,32860036,-,BSDC1,ENSG00000160058,True
1,32930658,32930659,+,RP1-27O5.3,ENSG00000254553,False
1,32930665,32930666,+,ZBTB8B,ENSG00000273274,True
1,33005048,33005049,+,ZBTB8A,ENSG00000160062,True
1,33116143,33116144,-,ZBTB8OS,ENSG00000176261,True
1,33116809,33116810,+,RBBP4,ENSG00000162521,True
1,33168361,33168362,-,SYNC,ENSG00000162520,True
1,33219609,33219610,+,KIAA1522,ENSG00000162522,True
1,33282951,33282952,-,YARS,ENSG00000134684,True
1,33283170,33283171,+,S100PBP,ENSG00000116497,True
1,33336512,33336513,-,FNDC5,ENSG00000160097,True
1,33352080,33352081,+,HPCA,ENSG00000121905,True
1,33366969,33366970,-,TMEM54,ENSG00000121900,True
1,33430412,33430413,-,RNF19B,ENSG00000116514,True
1,33439268,33439269,+,FKSG48,ENSG00000267885,False
1,33502486,33502487,-,AK2,ENSG00000004455,True
1,33546757,33546758,+,ADC,ENSG00000142920,True
1,33647650,33647651,-,TRIM62,ENSG00000116525,True
1,33722126,33722127,+,ZNF362,ENSG00000160094,True
